"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV608",0,0,0,0,0,0,24,44,0,0,0,0,0,0,0,0,0,0
"ASV612",0,13,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,21
"ASV614",0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,19
"ASV615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"ASV618",0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,28
"ASV619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,52
"ASV621",0,15,0,0,0,14,0,0,0,0,0,0,0,37,0,0,0,0
"ASV629",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,30
"ASV632",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV641",0,0,0,0,0,0,0,0,0,0,33,0,0,12,20,0,0,0
"ASV643",10,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
"ASV645",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,19,11
"ASV647",0,0,0,0,0,0,0,11,0,0,0,0,0,53,0,0,0,0
"ASV652",39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV655",0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,13
